c_invoice_id,ad_org_id,dateinvoiced,c_bpartner_id,c_bpartner_location_id,paymentrule,grandtotal,duedate,totalopenamt,DaysLate,Late
1026299,1032729,2021-01-25,5642719,3826429,D,3.5,2021-01-25,3.5,7,1
1026299,1032729,2021-01-25,5635226,3818636,P,3.0,2021-01-25,3.0,7,1
1026299,1032729,2021-01-25,4352688,3440574,D,35.0,2021-01-25,35.0,7,1
1025769,1032729,2021-01-25,5635235,3818645,P,6.86,2021-01-25,6.86,7,1
1025769,1032729,2021-01-25,5634720,3818130,P,105.0,2021-01-25,105.0,7,1
1026232,1048278,2021-01-25,1307819,1307447,P,788.8,2021-01-30,788.8,2,1
1026232,1032729,2021-01-25,5636477,3820087,D,35.0,2021-01-25,35.0,7,1
1028482,1048278,2021-01-25,4456864,3459900,P,1102.01,2021-01-30,1102.01,2,1
1026188,1048278,2021-01-25,3963547,3286418,P,174.0,2021-01-25,174.0,7,1
2205467,1032729,2021-01-25,5642717,3826427,D,13.0,2021-01-25,13.0,7,1
1025892,1032729,2021-01-25,5632371,3815831,P,58.5,2021-01-25,58.5,7,1
1026471,1048278,2021-01-26,1002071,1002091,P,11690.0,2021-01-26,11690.0,0,0
1025892,1048278,2021-01-26,1002071,1002091,P,54291.49,2021-01-26,54291.49,0,0
1122019,1048278,2021-01-26,1002001,1002022,P,348.04,2021-01-31,348.04,1,1
1026370,1048278,2021-01-26,3908021,3239343,P,232.03,2021-02-10,232.03,0,0
1026370,1048278,2021-01-26,4119338,3339209,P,116.0,2021-01-26,116.0,6,1
1028519,1032729,2021-01-26,4468628,3472612,P,249.42,2021-01-26,249.42,0,0
2248974,1048278,2021-01-26,1055583,1054181,P,232.03,2021-01-31,232.03,1,1
2248974,1048278,2021-01-27,1003573,1458702,P,10441.39,2021-02-26,10441.39,0,0
2248974,1048278,2021-01-27,1003573,1458702,P,6960.93,2021-02-26,6960.93,0,0
